"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"1",".",".",".",".",".",".",2015,0000001,1,1,72327.80,14592.28,186.066,27018.77,7886.82,16753.40,4934.83,955.63,5883.93,12471.38,5990.30,12614.71,9989.32,64087.93,38582.99,4561.84,949.53,650.38,178.65,53.90,1453.70,391.86,46822.86,2337.43,1143.20,2142.01,826.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2",".",".",".",".",".",".",2025,0000001,1,1,78067.84,16739.45,150.183,30861.37,6408.08,17352.17,5494.95,1061.63,7094.12,14157.07,6970.65,12821.04,10326.55,69074.94,41490.46,4722.10,875.61,769.80,191.73,65.59,1826.50,541.56,50483.35,4197.98,1300.47,2341.25,932.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3",".",".",".",".",".",".",2035,0000001,1,1,81696.61,18868.22,119.302,33029.33,4730.35,17807.29,6069.68,1072.45,8182.96,16031.06,7609.25,13663.00,9991.15,71020.48,43115.05,5612.38,937.82,789.40,202.40,110.49,2330.74,692.91,53791.18,6011.10,1406.82,2666.19,1109.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4",".",".",".",".",".",".",2045,0000001,1,1,87109.31,20390.95,99.056,35745.37,3579.85,19442.90,6667.54,1183.64,9527.32,17427.68,7920.58,14714.32,11205.35,74188.19,45477.03,6687.04,1074.37,850.60,221.78,179.70,3015.69,891.94,58398.15,7827.11,1614.65,3068.84,1191.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5",".",".",".",".",".",".",2055,0000001,1,1,94316.98,22374.78,77.583,36406.39,3062.04,23598.68,7409.31,1388.19,10679.83,19127.05,8770.24,17941.53,13463.88,77876.44,50128.55,8618.58,1281.34,1013.53,272.01,291.64,3830.73,1132.72,66569.09,8926.25,2050.99,3615.42,1475.16,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6",".",".",".",".",".",".",2065,0000001,1,1,100932.13,25357.51,62.772,37574.05,3088.10,25016.64,8323.60,1509.46,11680.14,21626.53,10007.04,19048.14,14280.68,82122.55,54324.57,9535.75,1309.50,1116.97,290.22,357.87,4785.15,1414.12,73134.15,10523.49,2165.49,3821.77,1588.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7","Female",".",".",".",".",".",2015,1000001,2,1,65235.78,14581.81,241.692,23583.58,7061.60,14198.14,4838.74,730.22,7710.72,11045.01,6837.98,8806.72,9504.43,57922.52,35661.91,3918.19,814.52,532.79,139.57,43.50,1458.98,405.70,42975.16,2325.54,1030.17,2019.47,786.53,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"8","Female",".",".",".",".",".",2025,1000001,2,1,74182.92,16904.18,185.960,28310.00,6081.53,16266.61,5632.76,801.89,9152.04,13049.50,7699.29,11587.51,9078.08,65427.47,40105.86,4573.38,833.28,702.38,176.49,63.97,1841.73,564.21,48861.31,4187.71,1217.98,2334.61,880.85,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"9","Female",".",".",".",".",".",2035,1000001,2,1,77139.57,19106.78,140.671,30401.38,4662.98,15738.65,6255.77,833.34,10474.73,15166.44,8132.63,11337.17,8497.84,67079.49,41549.40,5153.98,869.58,698.53,173.26,100.60,2343.78,720.36,51609.48,6093.74,1382.39,2550.04,1100.89,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"10","Female",".",".",".",".",".",2045,1000001,2,1,81213.82,20700.86,113.374,32270.85,3396.87,17031.50,6838.16,862.21,12243.40,16649.73,8405.04,12058.23,9553.36,69114.73,43386.32,6109.53,936.28,747.39,188.90,158.71,3032.72,925.56,55485.41,7951.17,1554.97,2801.56,1072.90,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"11","Female",".",".",".",".",".",2055,1000001,2,1,88073.14,22648.77,89.871,33113.35,2850.28,20725.22,7601.66,1043.99,14086.70,18222.09,9294.49,14405.55,12024.11,72883.68,47655.12,7641.60,1140.99,898.04,232.85,253.13,3846.75,1176.10,62844.58,8938.62,1825.91,3356.65,1365.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"12","Female",".",".",".",".",".",2065,1000001,2,1,95694.49,25746.72,68.808,34815.88,2866.70,22372.53,8664.78,1159.07,15175.76,20699.11,10595.88,16552.38,11922.62,77758.06,52275.23,8873.19,1193.15,1009.92,258.53,334.02,4802.45,1465.17,70211.66,10701.50,2125.74,3667.23,1503.35,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"13","Male",".",".",".",".",".",2015,1000001,3,1,80908.48,14604.95,118.764,31175.03,8885.26,19845.03,5051.10,1228.35,3673.69,14197.16,4964.68,17222.03,10575.98,71547.50,42117.23,5340.60,1112.88,792.67,225.92,66.48,1447.32,375.12,51478.21,2351.81,1279.95,2290.27,873.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"14","Male",".",".",".",".",".",2025,1000001,3,1,82595.77,16547.45,108.484,33835.05,6788.69,18617.42,5334.33,1364.36,4695.57,15447.96,6121.40,14258.73,11781.66,73326.14,43104.24,4895.44,924.95,848.39,209.50,67.46,1808.74,515.16,52373.87,4209.96,1396.61,2348.99,991.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"15","Male",".",".",".",".",".",2035,1000001,3,1,86905.54,18595.54,94.877,36033.21,4807.35,20171.84,5856.96,1345.76,5563.36,17019.37,7011.00,16321.53,11698.08,75525.24,44904.67,6136.35,1015.82,893.28,235.70,121.79,2315.84,661.52,56284.97,5916.64,1434.74,2798.95,1119.28,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"16","Male",".",".",".",".",".",2045,1000001,3,1,93828.20,20037.76,82.738,39705.15,3788.39,22191.10,6473.09,1549.97,6431.89,18314.29,7368.46,17741.37,13088.07,79970.24,47859.74,7345.21,1231.74,968.23,259.26,203.62,2996.28,853.62,61717.70,7685.72,1682.67,3373.45,1325.90,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"17","Male",".",".",".",".",".",2055,1000001,3,1,101352.14,22066.05,63.738,40116.78,3300.65,26836.32,7192.59,1776.01,6841.19,20146.70,8179.55,21925.65,15086.13,83501.96,52915.46,9719.38,1439.47,1143.66,316.14,335.02,3812.68,1083.83,70765.64,8912.30,2304.59,3906.99,1598.98,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"18","Male",".",".",".",".",".",2065,1000001,3,1,106861.03,24916.92,55.940,40696.26,3338.71,28009.72,7937.39,1906.08,7723.15,22676.35,9340.48,21873.30,16949.96,87063.06,56644.40,10285.75,1441.21,1238.14,326.10,384.86,4765.57,1356.34,76442.36,10321.99,2210.48,3996.71,1685.80,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"19",".",".",".",".",".",".",2015,0000001,1,2,72327.80,14592.28,186.066,27018.77,7886.82,16753.40,4934.83,955.63,5883.93,12471.38,5990.30,12614.71,9989.32,64087.93,38582.99,4561.84,949.53,650.38,178.65,53.90,1453.70,391.86,46822.86,2337.43,1143.20,2142.01,826.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20",".",".",".",".",".",".",2025,0000001,1,2,78067.84,16739.45,150.183,30861.37,6408.08,17352.17,5494.95,1061.63,7094.12,14157.07,6970.65,12821.04,10326.55,69074.94,41490.46,4722.10,875.61,769.80,191.73,65.59,1826.50,541.56,50483.35,4197.98,1300.47,2341.25,932.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"21",".",".",".",".",".",".",2035,0000001,1,2,81696.61,18868.22,119.302,33029.33,4730.35,17807.29,6069.68,1072.45,8182.96,16031.06,7609.25,13663.00,9991.15,71020.48,43115.05,5612.38,937.82,789.40,202.40,110.49,2330.74,692.91,53791.18,6011.10,1406.82,2666.19,1109.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"22",".",".",".",".",".",".",2045,0000001,1,2,87109.31,20390.95,99.056,35745.37,3579.85,19442.90,6667.54,1183.64,9527.32,17427.68,7920.58,14714.32,11205.35,74188.19,45477.03,6687.04,1074.37,850.60,221.78,179.70,3015.69,891.94,58398.15,7827.11,1614.65,3068.84,1191.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"23",".",".",".",".",".",".",2055,0000001,1,2,94316.98,22374.78,77.583,36406.39,3062.04,23598.68,7409.31,1388.19,10679.83,19127.05,8770.24,17941.53,13463.88,77876.44,50128.55,8618.58,1281.34,1013.53,272.01,291.64,3830.73,1132.72,66569.09,8926.25,2050.99,3615.42,1475.16,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"24",".",".",".",".",".",".",2065,0000001,1,2,100932.13,25357.51,62.772,37574.05,3088.10,25016.64,8323.60,1509.46,11680.14,21626.53,10007.04,19048.14,14280.68,82122.55,54324.57,9535.75,1309.50,1116.97,290.22,357.87,4785.15,1414.12,73134.15,10523.49,2165.49,3821.77,1588.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"25",".",".",".","Married",".",".",2015,0001001,2,2,84868.56,15496.55,100.378,30697.74,9380.44,22776.67,5327.90,1088.87,3181.93,11930.91,10183.21,15595.43,17264.78,74742.69,45735.26,5984.52,1236.59,800.77,229.45,75.79,1418.55,380.22,55861.13,2428.70,1312.07,2327.78,949.66,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
