"Obs","age","male","xeduc","raceeth","marstat","pcyears","workyrs","pcincQ","ksaimeQ","fpchome","censusPoverty","pcretacct","pcwlth","pcwlthret","year","_TYPE_","_PAGE_","_TABLE_","count_Sum","below100_Mean","below200_Mean","xSSIe_Mean","pctoti_Mean","PCCENSUSINCOME_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean"
"1",".",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2015,000000000000001,1,1,57989.67,".",".",".",".",".",".","."
"2",".",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2025,000000000000001,1,1,79506.21,".",".",".",".",".",".","."
"3",".",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2035,000000000000001,1,1,91760.17,".",".",".",".",".",".","."
"4",".",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2045,000000000000001,1,1,97806.80,".",".",".",".",".",".","."
"5",".",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2055,000000000000001,1,1,105258.23,".",".",".",".",".",".","."
"6",".",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2065,000000000000001,1,1,112519.37,".",".",".",".",".",".","."
"7","62-69",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2015,100000000000001,1,1,27173.08,".",".",".",".",".",".","."
"8","62-69",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2025,100000000000001,1,1,34241.18,".",".",".",".",".",".","."
"9","62-69",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2035,100000000000001,1,1,31501.62,".",".",".",".",".",".","."
"10","62-69",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2045,100000000000001,1,1,32425.38,".",".",".",".",".",".","."
"11","62-69",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2055,100000000000001,1,1,36936.50,".",".",".",".",".",".","."
"12","62-69",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2065,100000000000001,1,1,37171.64,".",".",".",".",".",".","."
"13","70-74",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2015,100000000000001,1,1,11385.88,".",".",".",".",".",".","."
"14","70-74",".",".",".",".",".",".",".",".","Home Owner",".",".",".",".",2025,100000000000001,1,1,16994.84,".",".",".",".",".",".","."
