"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"1",".",".",".",".",".",".",2015,0000001,1,1,72327.80,14592.28,186.066,27018.77,7886.82,16753.40,4934.83,955.63,5883.93,12471.38,5990.30,12614.71,9989.32,64087.93,38582.99,4561.84,949.53,650.38,178.65,53.90,1453.70,391.86,46822.86,2337.43,1143.20,2142.01,826.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2",".",".",".",".",".",".",2025,0000001,1,1,78067.84,16739.45,150.183,30861.37,6408.08,17352.17,5494.95,1061.63,7094.12,14157.07,6970.65,12821.04,10326.55,69074.94,41490.46,4722.10,875.61,769.80,191.73,65.59,1826.50,541.56,50483.35,4197.98,1300.47,2341.25,932.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3",".",".",".",".",".",".",2035,0000001,1,1,77266.77,14424.57,140.933,33029.22,4730.35,17807.29,6069.68,1064.73,8184.69,12255.59,5817.20,13663.00,9991.15,67000.22,39084.91,5226.62,919.34,789.40,202.40,106.60,2329.61,692.59,49351.46,6011.11,1396.82,2666.19,1109.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4",".",".",".",".",".",".",2045,0000001,1,1,82654.48,15929.61,117.831,35745.53,3579.85,19442.90,6667.54,1171.22,9535.77,13614.68,6187.64,14714.32,11205.35,70197.41,41478.60,6269.22,1055.85,850.60,221.78,173.91,2998.54,887.17,53935.67,7826.79,1607.48,3068.84,1191.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5",".",".",".",".",".",".",2055,0000001,1,1,89224.24,17279.37,92.375,36406.48,3062.04,23598.68,7409.31,1375.98,10698.47,14771.25,6773.00,17941.53,13463.88,73372.93,45612.04,8093.43,1259.21,1013.53,272.01,283.70,3804.31,1125.13,61463.36,8926.72,2037.61,3615.42,1475.16,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6",".",".",".",".",".",".",2065,0000001,1,1,94723.14,19148.72,74.462,37573.95,3088.10,25016.64,8323.60,1497.67,11688.24,16331.27,7556.81,19048.14,14280.68,76704.01,48894.84,8843.56,1282.92,1116.97,290.22,349.44,4736.12,1399.89,66913.97,10523.52,2154.15,3821.77,1588.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7","Female",".",".",".",".",".",2015,1000001,2,1,65235.78,14581.81,241.692,23583.58,7061.60,14198.14,4838.74,730.22,7710.72,11045.01,6837.98,8806.72,9504.43,57922.52,35661.91,3918.19,814.52,532.79,139.57,43.50,1458.98,405.70,42975.16,2325.54,1030.17,2019.47,786.53,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"8","Female",".",".",".",".",".",2025,1000001,2,1,74182.92,16904.18,185.960,28310.00,6081.53,16266.61,5632.76,801.89,9152.04,13049.50,7699.29,11587.51,9078.08,65427.47,40105.86,4573.38,833.28,702.38,176.49,63.97,1841.73,564.21,48861.31,4187.71,1217.98,2334.61,880.85,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"9","Female",".",".",".",".",".",2035,1000001,2,1,72655.40,14606.94,163.530,30401.18,4662.98,15738.65,6255.77,826.35,10479.10,11594.59,6217.32,11337.17,8497.84,62997.93,37456.35,4774.99,851.09,698.53,173.26,96.80,2342.76,720.03,47113.82,6093.76,1370.67,2550.04,1100.89,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"10","Female",".",".",".",".",".",2045,1000001,2,1,76694.81,16171.72,133.305,32270.77,3396.87,17031.50,6838.16,852.50,12253.97,13006.94,6566.10,12058.23,9553.36,65049.10,39316.97,5702.62,918.59,747.39,188.90,153.13,3014.86,920.22,50962.68,7950.48,1551.86,2801.56,1072.90,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"11","Female",".",".",".",".",".",2055,1000001,2,1,82922.43,17490.97,105.756,33113.88,2850.28,20725.22,7601.66,1034.67,14101.63,14072.37,7177.86,14405.55,12024.11,68307.82,43069.89,7130.02,1120.41,898.04,232.85,245.06,3819.80,1168.43,57684.50,8939.70,1815.98,3356.65,1365.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"12","Female",".",".",".",".",".",2065,1000001,2,1,89392.29,19442.64,80.532,34815.91,2866.70,22372.53,8664.78,1149.20,15186.88,15630.93,8001.48,16552.38,11922.62,72246.11,46747.66,8186.78,1166.44,1009.92,258.53,325.25,4749.75,1449.52,63893.85,10701.54,2110.12,3667.23,1503.35,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"13","Male",".",".",".",".",".",2015,1000001,3,1,80908.48,14604.95,118.764,31175.03,8885.26,19845.03,5051.10,1228.35,3673.69,14197.16,4964.68,17222.03,10575.98,71547.50,42117.23,5340.60,1112.88,792.67,225.92,66.48,1447.32,375.12,51478.21,2351.81,1279.95,2290.27,873.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"14","Male",".",".",".",".",".",2025,1000001,3,1,82595.77,16547.45,108.484,33835.05,6788.69,18617.42,5334.33,1364.36,4695.57,15447.96,6121.40,14258.73,11781.66,73326.14,43104.24,4895.44,924.95,848.39,209.50,67.46,1808.74,515.16,52373.87,4209.96,1396.61,2348.99,991.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"15","Male",".",".",".",".",".",2035,1000001,3,1,82537.78,14216.10,115.103,36033.20,4807.35,20171.84,5856.96,1337.21,5562.07,13011.14,5359.84,16321.53,11698.08,71575.02,40946.44,5742.86,997.35,893.28,235.70,117.79,2314.57,661.22,51909.20,5916.64,1426.72,2798.95,1119.28,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"16","Male",".",".",".",".",".",2045,1000001,3,1,89446.51,15653.70,100.196,39705.59,3788.39,22191.10,6473.09,1534.45,6437.94,14307.31,5756.32,17741.37,13088.07,76064.76,43942.13,6914.96,1212.26,968.23,259.26,197.59,2979.95,849.51,57323.88,7685.81,1670.88,3373.45,1325.90,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"17","Male",".",".",".",".",".",2055,1000001,3,1,96324.73,17040.95,77.297,40116.38,3300.65,26836.32,7192.59,1760.54,6864.00,15558.69,6316.82,21925.65,15086.13,79079.96,48476.37,9178.94,1415.60,1143.66,316.14,327.23,3786.85,1076.34,65721.14,8912.09,2287.32,3906.99,1598.98,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"18","Male",".",".",".",".",".",2065,1000001,3,1,100757.57,18816.01,67.590,40696.00,3338.71,28009.72,7937.39,1892.13,7727.84,17124.04,7053.46,21873.30,16949.96,81750.29,51325.41,9587.03,1414.78,1238.14,326.10,376.82,4720.70,1343.71,70332.69,10322.01,2203.99,3996.71,1685.80,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"19",".",".",".",".",".",".",2015,0000001,1,2,72327.80,14592.28,186.066,27018.77,7886.82,16753.40,4934.83,955.63,5883.93,12471.38,5990.30,12614.71,9989.32,64087.93,38582.99,4561.84,949.53,650.38,178.65,53.90,1453.70,391.86,46822.86,2337.43,1143.20,2142.01,826.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20",".",".",".",".",".",".",2025,0000001,1,2,78067.84,16739.45,150.183,30861.37,6408.08,17352.17,5494.95,1061.63,7094.12,14157.07,6970.65,12821.04,10326.55,69074.94,41490.46,4722.10,875.61,769.80,191.73,65.59,1826.50,541.56,50483.35,4197.98,1300.47,2341.25,932.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"21",".",".",".",".",".",".",2035,0000001,1,2,77266.77,14424.57,140.933,33029.22,4730.35,17807.29,6069.68,1064.73,8184.69,12255.59,5817.20,13663.00,9991.15,67000.22,39084.91,5226.62,919.34,789.40,202.40,106.60,2329.61,692.59,49351.46,6011.11,1396.82,2666.19,1109.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"22",".",".",".",".",".",".",2045,0000001,1,2,82654.48,15929.61,117.831,35745.53,3579.85,19442.90,6667.54,1171.22,9535.77,13614.68,6187.64,14714.32,11205.35,70197.41,41478.60,6269.22,1055.85,850.60,221.78,173.91,2998.54,887.17,53935.67,7826.79,1607.48,3068.84,1191.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"23",".",".",".",".",".",".",2055,0000001,1,2,89224.24,17279.37,92.375,36406.48,3062.04,23598.68,7409.31,1375.98,10698.47,14771.25,6773.00,17941.53,13463.88,73372.93,45612.04,8093.43,1259.21,1013.53,272.01,283.70,3804.31,1125.13,61463.36,8926.72,2037.61,3615.42,1475.16,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"24",".",".",".",".",".",".",2065,0000001,1,2,94723.14,19148.72,74.462,37573.95,3088.10,25016.64,8323.60,1497.67,11688.24,16331.27,7556.81,19048.14,14280.68,76704.01,48894.84,8843.56,1282.92,1116.97,290.22,349.44,4736.12,1399.89,66913.97,10523.52,2154.15,3821.77,1588.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"25",".",".",".","Married",".",".",2015,0001001,2,2,84868.56,15496.55,100.378,30697.74,9380.44,22776.67,5327.90,1088.87,3181.93,11930.91,10183.21,15595.43,17264.78,74742.69,45735.26,5984.52,1236.59,800.77,229.45,75.79,1418.55,380.22,55861.13,2428.70,1312.07,2327.78,949.66,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
