"Obs","year","age","t1","s1","w1","t2","s2","w2","t3","s3","w3","t4","s4","w4","t5","s5","w5","t6","s6","w6","t7","s7","w7","t8","s8","w8","t9","s9","w9","t10","s10","w10","t11","s11","w11","t12","s12","w12","t13","s13","w13","t14","s14","w14","t15","s15","w15","t16","s16","w16","t17","s17","w17","t18","s18","w18","t19","s19","w19","t20","s20","w20","t21","s21","w21","t22","s22","w22","t23","s23","w23","t24","s24","w24","t25","s25","w25","t26","s26","w26","t27","s27","w27","t28","s28","w28","t29","s29","w29","t30","s30","w30","t31","s31","w31","t32","s32","w32","t33","s33","w33","t34","s34","w34","t35","s35","w35","t36","s36","w36","t37","s37","w37","t38","s38","w38","t39","s39","w39","t40","s40","w40","t41","s41","w41","t42","s42","w42","t43","s43","w43","t44","s44","w44","t45","s45","w45","t46","s46","w46","t47","s47","w47","t48","s48","w48","t49","s49","w49","t50","s50","w50","t51","s51","w51","t52","s52","w52","t53","s53","w53","t54","s54","w54","t55","s55","w55","t56","s56","w56","t57","s57","w57","t58","s58","w58","t59","s59","w59","t60","s60","w60","t61","s61","w61","t62","s62","w62","t63","s63","w63","t64","s64","w64","t65","s65","w65","t66","s66","w66","t67","s67","w67","t68","s68","w68","t69","s69","w69","t70","s70","w70","t71","s71","w71","t72","s72","w72","t73","s73","w73","t74","s74","w74","t75","s75","w75","t76","s76","w76","t77","s77","w77","t78","s78","w78","t79","s79","w79","t80","s80","w80","t81","s81","w81","t82","s82","w82","t83","s83","w83","t84","s84","w84","t85","s85","w85","t86","s86","w86","t87","s87","w87","t88","s88","w88","t89","s89","w89","t90","s90","w90","t91","s91","w91","t92","s92","w92","t93","s93","w93","t94","s94","w94","t95","s95","w95","t96","s96","w96","t97","s97","w97","t98","s98","w98","t99","s99","w99","t100","s100","w100","male","xeduc","marstat","raceeth","pcincQ"
"1",2015,"62-69",356.02,0,-981.17,2449.30,0,-981.17,4963.99,0,-981.17,6537.74,0,-856.68,7502.22,0,-475.19,8364.43,0.00,-82.72,9004.48,0.00,188.60,9741.58,0.00,525.09,10340.70,0.00,895.09,10978.66,0.00,1293.38,11680.29,0.00,1670.61,12514.64,0.00,2024.91,13330.15,0.00,2480.83,13948.71,0.00,2944.19,14636.14,0.00,3346.11,15442.35,0.00,3724.21,16033.99,0.00,4164.55,16763.64,0.00,4690.88,17468.49,0.00,5242.62,18149.46,0.00,5751.13,18939.99,0.00,6275.56,19586.46,0.00,6995.20,20347.13,0.00,7596.54,21015.48,0.00,8142.85,21647.45,0.00,8685.44,22352.04,536.63,9325.77,23110.86,1432.92,9948.76,23820.33,2078.01,10511.64,24601.12,2516.22,11261.50,25318.17,3173.40,12098.57,26102.95,3664.80,12796.28,26875.64,4071.15,13863.78,27773.16,4475.38,14842.37,28562.09,4717.42,15769.73,29293.84,5009.69,16745.63,30159.15,5296.06,18006.60,30949.24,5591.75,19023.95,31616.20,5866.56,20033.03,32249.00,6122.40,21137.30,32963.77,6433.43,22940.39,33720.80,6737.38,24473.95,34536.80,7002.00,25848.86,35453.25,7284.00,27608.42,36262.52,7553.02,28976.01,37077.49,7884.81,30362.50,37837.05,8127.38,32193.98,38624.57,8417.30,33760.46,39594.50,8674.80,35295.90,40460.84,8962.89,37272.62,41418.30,9259.20,39035.49,42259.88,9574.20,41333.75,43217.14,9815.72,43832.16,44019.71,10049.89,46043.56,44943.35,10276.81,48341.30,45881.76,10522.66,50647.14,47208.55,10717.98,53506.76,48094.38,10978.59,56395.13,49152.31,11210.15,59092.06,50113.40,11459.40,62088.15,51242.33,11660.40,65155.89,52216.26,11913.67,67819.24,53394.67,12116.91,70655.93,55012.19,12350.66,74380.69,56259.95,12580.20,78102.89,57712.58,12820.80,81850.43,59058.08,13038.46,86947.27,60460.49,13237.33,91295.20,61764.98,13498.76,96508.86,63167.94,13769.08,101567.18,64501.40,14041.93,108332.03,66321.82,14299.04,115593.80,68089.74,14575.85,125669.79,69916.80,14881.43,138927.71,71705.87,15202.88,152430.44,73467.04,15459.07,162785.82,75328.99,15771.93,174633.20,77464.35,16082.55,188467.78,79514.34,16394.85,207985.34,82079.82,16652.29,223874.00,84477.97,17005.04,244120.84,86777.92,17276.25,267069.93,89353.54,17604.25,304926.95,92416.23,18006.55,335018.17,95386.14,18356.30,359075.42,98566.74,18656.84,390016.56,101877.20,18993.51,415062.41,105722.81,19372.80,450940.43,110017.70,19710.80,500246.87,114284.28,20089.02,561748.36,120433.23,20469.15,659592.88,125519.87,21072.32,734895.94,132128.96,21562.80,816720.81,139079.72,22053.24,918376.65,149002.86,22719.86,1043994.08,162157.49,23411.80,1229187.03,177302.93,24160.03,1487930.58,202427.65,24980.40,1855347.50,237284.22,25929.12,2479187.27,325236.03,27680.00,4153463.20,2751273.35,57819.64,39214987.78,".",".",".",".","."
"2",2015,"70-74",-58.84,0,-1041.57,2380.29,0,-981.17,5001.84,0,-981.17,6914.11,0,-910.94,8139.37,0,-768.56,8950.93,0.00,-432.21,9525.20,0.00,-201.41,10353.20,1513.56,10.76,10978.41,2757.20,394.59,11578.74,3948.06,709.61,12343.45,4669.69,1047.71,13031.60,5235.59,1328.42,13729.81,5754.84,1657.69,14325.25,6327.00,1981.12,15175.19,6792.98,2400.24,15763.70,7266.93,2748.29,16395.13,7636.20,3141.82,16941.57,8061.44,3502.55,17682.39,8392.53,3860.32,18417.39,8753.07,4198.11,19230.30,9004.60,4615.96,19854.10,9269.00,5022.35,20374.11,9509.41,5445.75,21209.40,9837.50,5996.41,21669.12,10052.10,6595.33,22266.85,10370.40,7237.87,22755.92,10642.68,7726.44,23114.40,10872.00,8214.65,23790.61,11085.80,8698.88,24503.94,11276.10,9148.11,25062.11,11494.00,9829.03,25582.81,11644.38,10577.22,26058.63,11847.60,11389.03,26642.91,12036.95,12186.55,27186.05,12220.65,12813.58,27696.00,12400.20,13527.10,28455.64,12606.55,14662.79,29317.43,12783.99,15625.96,30290.81,12947.78,16484.20,31146.65,13108.91,17246.64,31922.36,13320.56,18230.90,32470.83,13542.91,19188.14,33220.65,13760.63,20265.56,33777.03,13937.16,21577.27,34457.01,14124.39,22743.71,34992.77,14327.01,23917.77,35987.53,14520.19,25263.50,36842.24,14802.44,27018.25,37669.96,14993.55,28372.42,38445.81,15224.88,29590.65,39186.39,15396.44,31275.36,39707.99,15581.40,32575.48,40531.00,15757.85,33897.45,41448.88,15950.63,36251.48,42389.79,16136.73,38325.23,43704.58,16317.24,40496.26,44724.37,16515.78,42330.29,45742.54,16728.30,45322.66,46886.50,16842.92,48372.83,47871.10,17061.57,51670.82,49252.51,17225.07,54345.55,50133.02,17407.56,57319.39,51272.86,17575.19,60866.99,52375.70,17836.76,63848.84,53639.97,18013.24,67665.13,54702.80,18143.36,71377.20,56088.93,18300.91,74931.31,57263.64,18515.85,78820.87,58504.62,18701.18,82801.40,60437.63,18879.07,89717.59,62278.26,19098.01,94492.79,63483.39,19255.69,100367.62,64935.50,19442.68,108663.41,66528.25,19628.67,118899.64,68179.29,19807.71,130527.02,69413.65,19995.23,144431.46,71110.52,20178.16,159924.33,73162.80,20395.98,177304.60,74913.91,20625.06,190508.31,77396.66,20830.99,215214.18,79787.67,21078.87,239655.05,82708.17,21280.93,275582.07,86065.74,21507.61,307626.48,89519.71,21768.85,338923.08,92630.57,22137.60,369118.71,95977.43,22415.20,397978.57,99602.71,22644.63,432350.37,104986.83,22901.75,460167.10,110520.30,23223.30,509454.33,116950.61,23610.00,558812.89,123331.95,23937.01,653253.74,133249.19,24351.04,746910.60,140701.41,24800.20,884291.48,150018.45,25346.40,1072403.20,162778.10,25943.16,1266999.34,183589.17,26566.80,1608697.35,217847.70,27510.80,2021454.52,254162.70,28491.89,2726721.78,394967.50,30595.32,4500953.78,8214364.56,58206.75,124913238.83,".",".",".",".","."
"3",2015,"75-79",-56.62,0,-1076.72,3381.11,0,-981.17,5772.49,0,-967.53,7057.97,0,-821.15,8395.56,0,-700.71,8896.94,0.00,-421.78,9391.69,0.00,-205.02,9922.46,0.00,-106.60,10657.26,2212.55,-37.95,11190.49,3780.48,0.00,11562.80,4714.40,147.89,12458.78,5506.97,385.44,13329.12,6124.80,639.78,13977.00,6794.76,993.20,14610.05,7239.87,1304.68,15298.66,7617.08,1517.34,15673.96,7974.00,1809.30,16240.23,8436.10,2027.50,16654.97,8836.87,2404.25,17386.66,9038.49,2750.81,17874.81,9234.57,3139.94,18430.48,9572.04,3460.46,19081.93,9825.46,3876.61,19730.63,10108.29,4333.15,20312.18,10287.36,4766.94,20820.14,10494.00,5176.63,21300.86,10771.63,5674.71,21775.19,11028.88,6156.52,22181.18,11278.40,6754.43,22565.76,11540.60,7287.15,22910.04,11730.00,7902.60,23377.68,11887.44,8684.94,23879.38,12090.32,9219.35,24492.86,12302.88,9911.40,25009.92,12458.40,10529.33,25416.95,12666.62,11369.85,26083.01,12831.68,12149.76,26611.42,12991.97,12843.71,27114.02,13197.43,13590.35,27759.40,13353.60,14371.35,28372.71,13473.81,15515.62,28928.68,13595.41,16824.22,29490.45,13772.40,17864.96,30104.97,13923.40,18965.33,30533.52,14128.29,20488.12,31073.96,14350.31,21553.05,31693.75,14564.13,23027.21,32571.50,14724.48,25090.76,33399.33,14871.60,26298.84,34171.76,15047.96,27445.07,34892.39,15264.83,29049.70,35843.04,15432.47,31498.69,37095.10,15608.15,32943.86,37819.00,15821.55,34794.07,38775.77,15972.83,36290.28,39666.64,16172.82,38297.61,40474.94,16293.29,40368.33,41294.08,16430.34,42346.83,42078.80,16572.80,46151.55,42931.98,16703.28,49021.78,43615.73,16854.79,52063.13,44340.24,17047.71,54172.13,45255.53,17117.10,58101.33,46479.42,17289.64,62089.31,47619.85,17427.89,66675.56,48794.29,17564.64,69934.34,49868.95,17698.80,74575.06,51049.39,17884.37,78937.32,52294.14,18084.84,83570.59,53564.89,18248.53,89976.84,55344.16,18359.12,95145.15,57406.51,18557.40,102300.98,58960.26,18688.87,111627.45,60716.25,18898.68,123675.86,62035.62,19100.56,133955.30,63874.16,19307.64,142517.80,65985.02,19567.20,154142.35,68185.40,19737.60,173122.32,70690.18,19946.90,182795.29,73281.88,20252.40,198456.16,75462.58,20500.57,227989.20,78858.88,20760.45,262754.47,81472.89,20931.60,288123.67,85050.96,21168.38,312119.57,88900.78,21408.15,337638.89,93052.61,21698.60,366731.02,97772.13,22024.03,397127.63,102697.46,22282.80,437220.66,108246.75,22607.85,492091.51,113877.16,23034.91,547657.04,120601.32,23434.99,595832.58,129934.90,23843.16,657574.92,140624.23,24270.06,753767.63,153781.77,24785.13,985731.46,164801.69,25308.12,1110770.53,188247.67,26039.68,1459994.54,221419.97,26715.31,1865051.26,264834.11,27697.20,2520776.00,334496.02,30691.47,3704951.92,1637830.87,52907.84,20402161.56,".",".",".",".","."
"4",2015,"80-84",-68.24,0,-1431.62,2487.85,0,-1082.45,5777.00,0,-867.62,7194.57,0,-689.51,8583.53,0,-453.73,8918.36,0.00,-85.13,9298.89,0.00,-8.47,9845.87,2425.79,0.00,10760.78,4170.10,6.55,11115.79,4909.70,64.75,11838.37,5764.85,188.97,12555.25,6224.44,406.79,12959.40,6713.40,789.91,13365.17,7059.69,1135.09,13908.57,7482.13,1376.15,14685.08,7897.20,1746.58,15373.63,8219.64,1976.75,15941.44,8560.67,2387.20,16663.78,8870.43,2726.75,17330.06,9117.79,3167.56,18126.43,9452.63,3991.75,18786.45,9703.67,4484.88,19272.78,9969.22,5009.83,19811.34,10157.84,5684.42,20340.53,10394.64,6191.71,20864.59,10591.57,6552.38,21729.67,10762.25,7124.17,22037.05,10935.00,7469.62,22452.32,11149.38,7953.27,22956.13,11313.10,8698.54,23501.89,11534.71,9547.77,24151.64,11823.66,10326.57,24651.71,11998.48,11088.05,25036.94,12213.63,11935.55,25458.20,12448.26,12923.36,26125.10,12575.34,13654.35,26586.64,12710.61,14402.24,27198.47,12841.68,15607.18,27747.56,13054.80,16775.96,28461.77,13188.47,17911.66,28756.86,13299.60,19414.50,29338.71,13449.74,20755.87,29933.67,13652.87,22103.82,30439.52,13768.34,24146.33,30947.66,13923.39,25277.96,31626.77,14061.66,26770.17,32225.90,14187.60,27778.55,32855.09,14289.66,29989.34,33590.79,14438.40,32469.11,34537.09,14638.25,34432.03,35417.86,14767.07,37049.14,36357.01,14874.14,39060.85,36982.96,15033.39,40865.56,37776.86,15184.80,42809.67,38526.47,15333.12,45113.48,39210.47,15486.00,48330.38,40186.38,15584.94,51269.28,41074.00,15716.05,54690.54,41942.23,15812.72,60242.65,42812.72,15938.51,63946.66,43372.42,16089.88,68285.49,44229.98,16197.42,71377.20,45550.15,16301.24,74347.90,46686.05,16471.41,78080.75,48538.03,16642.89,81936.71,49730.10,16825.01,86681.92,51015.39,16926.46,91214.69,52587.97,17044.27,97103.03,53960.51,17177.68,102036.92,55138.03,17399.25,110363.20,55925.17,17528.64,118224.95,57458.02,17655.71,126873.28,58904.77,17830.80,138541.39,60847.40,18032.40,147761.42,62108.36,18188.40,164793.67,64701.08,18315.26,173981.05,66163.71,18464.40,188377.29,67995.03,18715.67,206385.21,69301.60,18868.80,222583.42,71034.94,19018.34,233417.79,73059.89,19161.90,257260.55,75624.75,19402.88,280213.12,79138.37,19621.20,300985.60,82926.45,19895.49,326256.24,86379.88,20116.37,348212.61,90294.21,20436.00,378154.72,95625.55,20643.65,406783.27,100346.22,20870.16,447555.11,105581.39,21079.30,492990.33,112063.11,21375.60,552753.90,117991.75,21640.90,617891.98,133564.53,21914.03,710290.44,148474.49,22159.20,858613.70,165274.02,22698.30,1009359.63,183877.30,23733.89,1343172.32,204938.47,24813.36,1607348.36,247511.39,25701.31,2000315.26,287105.42,27034.88,2434324.42,366185.29,30388.25,3065511.42,2393278.08,61475.40,19320855.77,".",".",".",".","."
"5",2015,"85+",387.99,0,-4872.92,4767.88,0,-1675.20,6548.19,0,-966.48,7511.15,0,-700.71,8324.56,0,-347.49,8915.48,0.00,-13.34,9278.01,585.32,0.00,9746.29,3149.40,0.00,10334.86,4167.36,0.00,10766.00,5003.09,104.20,11154.96,5813.53,221.34,11905.92,6249.60,385.29,12520.59,6713.40,531.96,13113.67,7028.16,700.73,13809.35,7406.76,882.81,14221.51,7714.08,1066.19,14595.60,8009.28,1357.21,15241.44,8287.23,1618.54,15913.41,8597.31,1913.77,16234.63,8953.17,2182.30,16588.09,9135.97,2559.94,16995.62,9418.94,2962.86,17528.71,9616.85,3352.26,18114.27,9904.02,3835.70,18541.13,10210.90,4175.46,18863.84,10502.81,4454.04,19226.88,10737.42,4971.89,19646.36,10978.44,5516.70,20063.93,11183.28,6140.87,20488.46,11358.88,6551.00,21038.16,11540.40,7146.95,21473.12,11717.00,7824.07,21905.96,11853.53,8417.83,22229.78,12004.64,8939.65,22738.22,12168.09,9763.33,23063.79,12344.20,10503.14,23613.50,12520.31,11190.97,24023.82,12650.22,12259.59,24343.11,12752.33,13063.56,24882.00,12856.82,13744.81,25341.71,13038.40,14249.52,25864.39,13125.84,15279.83,26329.97,13239.27,16215.48,26810.75,13396.07,17127.33,27293.06,13511.52,18213.22,27825.28,13617.15,19212.98,28302.94,13761.47,20362.82,28798.00,13925.34,21467.80,29517.25,14104.53,22779.67,30397.04,14257.14,24223.00,30971.47,14404.51,25711.62,31619.53,14593.20,27599.31,32218.31,14697.54,28990.33,32729.62,14843.55,31011.40,33595.12,14947.84,33518.54,34388.54,15084.83,36049.67,35025.27,15175.68,38056.85,35628.66,15315.65,40382.88,36272.21,15477.66,42913.50,37471.27,15596.46,46825.59,38335.08,15698.40,49466.77,39065.41,15776.40,51786.02,39638.22,15919.07,55083.05,40778.12,16043.45,58555.65,41632.49,16185.43,61364.84,42311.41,16315.29,64989.56,43006.56,16449.84,67885.35,43861.83,16569.63,71861.34,44590.64,16698.20,75971.13,45607.14,16821.93,78815.52,47455.04,16959.54,81522.23,48734.74,17109.95,85671.13,49879.24,17248.97,89861.86,51078.44,17408.40,94454.37,52317.47,17560.06,100684.68,53816.66,17643.34,105952.55,55620.50,17799.96,112409.97,57537.81,17955.10,119803.50,59280.00,18117.54,124941.85,61312.00,18286.80,132493.96,62928.64,18411.34,139264.39,65112.41,18543.54,148985.20,67532.38,18696.00,155734.65,69247.60,18877.20,166539.02,72356.89,19108.98,182276.89,74655.62,19302.00,197790.82,78468.26,19460.40,211416.07,80425.92,19724.40,232441.62,84175.42,20059.20,252195.76,87137.64,20416.32,271861.92,92084.67,20790.69,305354.63,99412.68,21193.20,345423.09,109961.20,21722.58,385206.21,122705.10,22111.92,460303.30,136870.94,22973.33,537482.30,152371.06,23919.54,632478.70,172798.78,25287.84,773017.48,203448.92,27123.96,930383.88,291614.00,29291.34,1698862.60,2786292.16,49881.46,18556559.14,".",".",".",".","."
"6",2025,"62-69",282.56,0,-1152.49,2584.76,0,-1152.49,4983.59,0,-1152.49,6650.97,0,-1033.95,7765.09,0,-571.34,8801.85,0.00,-284.24,9263.07,0.00,64.03,9953.38,0.00,408.13,10738.61,0.00,745.91,11493.77,0.00,1089.17,12082.35,0.00,1506.47,12854.91,0.00,1921.05,13503.83,0.00,2373.34,14136.14,0.00,2830.53,14804.43,0.00,3291.72,15439.98,0.00,3806.41,16112.63,0.00,4301.27,16813.68,0.00,4789.57,17406.34,0.00,5346.92,18079.64,0.00,5971.64,18730.99,0.00,6508.46,19307.47,0.00,7023.20,20004.88,0.00,7643.49,20686.26,626.64,8215.78,21389.82,1319.42,8777.77,22088.33,1979.66,9366.63,22829.02,2560.95,10000.36,23491.42,3078.99,10755.78,24253.21,3511.21,11510.49,24856.45,3916.22,12268.10,25629.23,4324.27,13127.69,26313.02,4619.42,13981.72,26952.54,5016.21,15035.27,27593.19,5316.47,15991.77,28281.23,5664.49,16907.62,28963.31,5984.24,17961.72,29706.29,6292.89,18978.37,30387.81,6579.22,19969.36,31178.77,6877.16,21228.88,31913.90,7102.24,22429.20,32574.95,7408.50,23669.36,33424.46,7657.73,24950.18,34222.44,7910.97,26576.83,35034.80,8205.53,28093.42,35806.12,8523.65,29680.92,36777.59,8811.29,31116.56,37732.48,9073.37,32962.44,38573.62,9324.24,34422.25,39491.04,9573.25,35931.68,40373.06,9854.68,37887.09,41397.39,10093.62,39782.05,42311.66,10382.03,41477.15,43381.08,10611.88,43441.35,44305.97,10843.46,45801.21,45450.52,11080.62,47787.17,46446.56,11308.63,50147.75,47580.07,11552.41,52637.52,48661.62,11829.16,55449.47,49595.59,12068.92,59076.95,50699.68,12301.41,62541.12,51912.16,12554.20,65737.28,53085.15,12838.69,68785.30,54415.25,13076.82,72637.83,55538.81,13334.58,76943.37,56895.17,13619.27,80928.37,58212.39,13895.40,85560.16,59623.66,14149.94,90531.84,61023.77,14453.44,95251.50,62555.61,14730.20,101320.99,63942.09,15012.62,106466.31,65504.37,15294.05,112210.25,67258.67,15605.90,119776.17,68913.29,15880.35,126190.20,71011.32,16167.05,134362.30,72752.78,16481.14,146234.11,74950.03,16830.57,162252.73,77178.44,17100.11,177390.16,79290.34,17417.23,189801.16,81291.43,17748.48,203021.76,83657.55,18085.39,219558.93,86254.40,18427.44,237834.18,88982.45,18807.24,254647.49,91900.62,19120.37,278617.23,95051.21,19468.22,318245.05,98294.89,19887.06,369797.08,101565.30,20282.02,401551.91,105647.66,20626.62,440665.29,109467.21,21066.62,482403.67,114458.30,21511.58,525579.33,120677.85,22049.44,590328.20,126714.04,22564.84,664293.06,134477.57,23116.75,792388.40,142494.64,23640.96,905431.31,153440.12,24303.46,1020396.85,166419.15,24962.72,1191816.14,185721.44,25947.44,1395550.39,210860.16,26875.68,1764902.88,256454.70,28505.47,2417694.87,338701.71,30542.77,4023523.13,3280508.70,49350.22,61611245.93,".",".",".",".","."
"7",2025,"70-74",292.67,0,-1191.38,3074.68,0,-1152.49,6232.38,0,-1079.98,7626.52,0,-885.15,8897.33,0,-473.89,9365.95,0.00,21.27,10175.40,0.00,325.83,10803.09,2642.45,715.74,11550.50,4126.92,1103.17,12410.27,5033.76,1442.57,13094.30,5725.87,1863.86,13787.86,6381.04,2246.87,14623.14,6920.96,2639.91,15339.21,7299.19,3056.00,16083.02,7648.51,3602.22,16895.12,8161.27,4120.38,17674.42,8559.61,4689.13,18630.89,8920.26,5215.90,19438.46,9340.83,5778.56,20232.31,9693.64,6338.67,20934.24,9962.40,6815.03,21566.11,10246.65,7441.63,22232.52,10526.72,8061.37,22912.72,10772.30,8663.59,23663.49,11016.45,9225.01,24378.44,11282.61,10035.07,25024.64,11540.20,10833.22,25788.23,11834.61,11529.81,26445.36,12090.96,12277.12,27185.90,12376.93,13052.15,27944.75,12599.36,13951.86,28665.07,12854.76,14836.39,29335.56,13042.58,15833.56,29935.51,13294.84,16718.60,30589.89,13550.52,17954.83,31333.30,13720.41,18978.50,32110.46,13920.55,20415.83,32850.81,14124.10,21278.67,33550.33,14325.75,22441.90,34440.09,14606.72,24032.43,35236.51,14834.17,25020.69,35903.29,15019.85,26648.95,36682.87,15228.49,28268.64,37485.62,15402.10,29944.54,38338.22,15619.23,31529.36,39347.09,15819.53,33550.92,40206.48,16055.12,35027.60,41191.98,16332.09,36878.92,42017.72,16565.23,39304.41,42969.55,16767.25,41470.01,43666.15,16945.89,43122.28,44569.09,17193.51,44996.88,45849.05,17412.37,47860.29,47141.80,17605.07,50013.10,48222.71,17789.73,53217.98,49283.91,18073.95,55687.55,50587.85,18249.95,58819.27,51430.75,18438.91,61768.40,52684.65,18658.46,64529.06,53723.57,18851.14,67138.25,55046.44,19031.56,70962.65,56407.36,19242.63,75348.24,57671.99,19431.33,80198.63,58931.55,19634.37,84119.14,60083.38,19844.93,90015.61,61379.65,20058.58,94801.68,63108.01,20302.91,100239.03,64558.20,20510.62,105862.56,66654.22,20779.95,112148.32,68121.97,21014.37,119310.97,69888.27,21201.15,126173.91,71298.15,21417.45,138740.78,73572.92,21642.34,150764.44,75506.98,21839.87,165978.91,78004.37,22036.24,176414.46,80363.94,22323.10,188334.97,82278.83,22571.87,207659.93,84286.41,22786.39,223013.83,86997.81,23018.64,241769.50,89508.28,23251.59,262991.44,92046.20,23472.94,282856.42,94787.02,23770.61,322208.59,97981.31,24072.11,357383.86,100799.59,24358.55,386883.16,105288.54,24684.63,425678.63,109530.24,24943.97,460867.89,113805.92,25258.74,502860.07,118084.67,25601.89,554845.70,123300.94,25882.61,625774.54,128586.26,26224.76,718825.84,137861.30,26650.01,812806.04,147299.28,27033.49,904442.73,156375.58,27652.50,1005116.61,168679.03,28162.06,1134933.89,182409.78,28837.36,1353849.73,203827.19,29480.35,1659823.60,233541.06,30427.49,2020595.26,286341.30,31774.43,2894074.94,404037.69,33599.89,4806415.91,4853963.20,54130.22,75627658.06,".",".",".",".","."
"8",2025,"75-79",-59.05,0,-1200.43,2926.30,0,-1152.49,6384.11,0,-1059.28,8232.14,0,-889.65,9055.59,0,-535.23,9589.83,0.00,-231.36,10454.00,0.00,118.81,11196.15,2493.08,491.31,11941.88,4628.99,823.43,12692.43,5398.57,1172.42,13501.70,6170.35,1576.88,14147.44,6790.33,1959.96,14986.86,7351.33,2366.47,15690.22,7831.25,2794.29,16439.75,8328.05,3246.21,17060.89,8792.32,3629.30,17933.61,9224.69,4135.33,18650.07,9653.32,4717.75,19274.44,9980.63,5237.13,19957.42,10254.99,6042.59,20673.08,10522.29,6591.87,21278.38,10848.27,7223.72,21920.08,11092.40,7723.44,22533.18,11350.86,8427.50,23259.14,11603.35,9048.31,24029.98,11888.51,9638.39,24544.19,12129.15,10432.43,25319.26,12355.09,11372.57,25924.10,12614.67,12221.36,26651.19,12913.08,13077.49,27391.93,13120.39,14149.73,28045.44,13382.25,14924.35,28891.12,13618.70,16156.70,29497.88,13813.87,17285.77,30213.30,14090.31,18295.07,30987.00,14305.55,19592.40,31739.70,14626.26,20859.52,32564.59,14800.35,22356.36,33478.64,15047.47,23889.32,34244.36,15258.39,25201.05,35194.24,15475.45,26697.88,36156.12,15760.89,28357.62,37041.16,15990.71,30043.76,37741.45,16247.50,31775.57,38667.31,16485.02,33626.81,39527.11,16664.39,34949.69,40334.45,16886.20,37604.58,41378.10,17055.48,39651.90,42190.31,17218.99,41525.35,43001.03,17430.69,43878.06,43838.69,17585.98,45954.38,44622.75,17737.03,48725.24,45493.92,17970.16,51048.48,46416.63,18182.17,53028.75,47311.83,18378.40,56034.64,48348.35,18586.72,58609.91,49297.50,18828.09,61557.26,50440.54,19025.18,64386.55,51766.80,19206.60,67935.98,52711.88,19374.39,70970.56,53962.01,19585.58,74264.79,55157.46,19776.54,78134.83,56472.20,19991.43,81884.36,57579.02,20195.71,86033.10,58774.98,20431.83,91178.01,59954.54,20637.70,96949.45,60930.71,20813.95,103319.27,62592.14,21035.69,108885.57,63823.48,21236.17,114487.83,65450.64,21497.47,122302.62,67085.40,21679.49,131248.19,68615.88,21867.09,139945.97,70711.09,22072.91,151019.96,72589.09,22289.87,165966.85,74652.52,22510.10,181856.82,76684.79,22782.53,196165.19,78333.59,23045.05,210060.63,80880.71,23285.58,226124.86,82856.98,23485.78,244767.52,85697.39,23703.59,267443.11,88588.89,24041.31,300017.51,91246.81,24307.87,330560.28,94403.03,24618.77,364894.49,97279.38,24819.50,393314.47,101662.51,25126.99,422832.76,105208.10,25352.82,459092.51,110433.59,25694.05,507611.03,115354.62,26003.36,558275.42,120227.85,26332.23,624616.80,126739.75,26643.45,710304.41,134797.97,26990.04,784914.55,144613.24,27459.60,872665.08,155261.69,27884.35,1001130.26,168249.10,28467.45,1144047.34,183076.46,29046.85,1346162.59,202245.14,29713.97,1580779.55,227751.88,30887.29,1988504.05,278241.21,32078.25,2689604.03,361769.46,34528.49,4105918.06,1697865.45,66158.89,27221178.35,".",".",".",".","."
