"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"1",".",".",".",".",".",".",2015,0000001,1,1,58467.82,12064.12,171.823,21936.37,6345.42,13097.65,4068.22,784.22,5437.75,12471.38,5990.30,12614.71,9989.32,51599.26,30897.17,3571.10,745.94,522.88,141.832,41.24,1453.70,391.86,37765.73,1938.23,928.91,1759.42,675.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2",".",".",".",".",".",".",2025,0000001,1,1,63374.10,13799.07,138.270,25053.48,5177.92,13783.23,4551.13,871.01,6503.22,14157.07,6970.65,12821.04,10326.55,55686.20,33301.58,3784.49,702.77,624.60,155.366,52.61,1826.50,541.56,40989.48,3446.42,1068.72,1945.25,759.60,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3",".",".",".",".",".",".",2035,0000001,1,1,63618.24,11971.89,127.854,27295.63,3899.08,14330.34,5109.97,883.48,7503.08,12255.59,5817.20,13663.00,9991.15,54663.16,31620.37,4278.81,751.67,648.19,166.222,87.99,2329.61,692.59,40575.44,5015.95,1162.32,2262.26,922.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4",".",".",".",".",".",".",2045,0000001,1,1,68744.35,13330.96,108.277,30089.16,2963.71,15593.88,5681.46,976.91,8741.97,13614.68,6187.64,14714.32,11205.35,57851.87,33662.37,5120.48,862.13,699.03,181.560,143.57,2998.54,887.17,44554.85,6593.23,1359.06,2630.65,998.18,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5",".",".",".",".",".",".",2055,0000001,1,1,74070.37,14434.03,86.461,30652.53,2506.67,18954.78,6294.61,1141.29,9822.66,14771.25,6773.00,17941.53,13463.88,60212.14,36807.94,6613.38,1027.41,830.62,222.221,235.16,3804.31,1125.13,50666.17,7486.16,1733.41,3084.09,1239.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6",".",".",".",".",".",".",2065,0000001,1,1,78503.90,15971.97,69.571,31571.48,2530.20,20029.52,7096.27,1234.89,10702.79,16331.27,7556.81,19048.14,14280.68,62659.36,39259.57,7223.32,1045.83,913.73,236.715,288.93,4736.12,1399.89,55104.11,8836.01,1828.20,3265.69,1338.06,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7","Female",".",".",".",".",".",2015,1000001,2,1,53637.89,12402.37,230.273,19169.32,5730.90,11388.93,4121.68,594.41,7335.26,11045.01,6837.98,8806.72,9504.43,47388.96,29288.07,3131.65,656.90,446.26,115.701,33.74,1458.98,405.70,35537.00,1977.68,854.74,1695.30,662.39,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"8","Female",".",".",".",".",".",2025,1000001,2,1,61172.17,14270.05,175.911,23037.45,4981.52,13263.30,4799.34,644.61,8631.29,13049.50,7699.29,11587.51,9078.08,53553.89,32947.75,3737.50,682.32,592.18,148.495,51.85,1841.73,564.21,40566.04,3513.40,1011.31,1971.15,734.80,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"9","Female",".",".",".",".",".",2035,1000001,2,1,60737.54,12391.26,152.506,25232.82,3908.95,12972.34,5410.91,668.75,9888.26,11594.59,6217.32,11337.17,8497.84,52149.54,31009.69,3991.60,708.99,595.72,147.664,81.23,2342.76,720.03,39597.69,5205.62,1157.43,2195.99,944.84,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"10","Female",".",".",".",".",".",2045,1000001,2,1,64554.85,13824.43,125.266,27169.42,2840.85,13932.61,5972.59,689.68,11579.63,13006.94,6566.10,12058.23,9553.36,54213.13,32565.38,4724.98,761.43,633.33,159.436,127.47,3014.86,920.22,42907.10,6834.24,1329.44,2425.80,904.77,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"11","Female",".",".",".",".",".",2055,1000001,2,1,69611.52,14910.16,101.165,27911.73,2345.82,16885.27,6614.80,842.57,13346.66,14072.37,7177.86,14405.55,12024.11,56706.22,35394.02,5843.66,916.11,759.53,195.323,202.45,3819.80,1168.43,48299.32,7643.97,1536.80,2871.64,1161.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
