"Obs","year","count","t1","s1","w1","t2","s2","w2","t3","s3","w3","t4","s4","w4","t5","s5","w5","t6","s6","w6","t7","s7","w7","t8","s8","w8","t9","s9","w9","t10","s10","w10","t11","s11","w11","t12","s12","w12","t13","s13","w13","t14","s14","w14","t15","s15","w15","t16","s16","w16","t17","s17","w17","t18","s18","w18","t19","s19","w19","t20","s20","w20","t21","s21","w21","t22","s22","w22","t23","s23","w23","t24","s24","w24","t25","s25","w25","t26","s26","w26","t27","s27","w27","t28","s28","w28","t29","s29","w29","t30","s30","w30","t31","s31","w31","t32","s32","w32","t33","s33","w33","t34","s34","w34","t35","s35","w35","t36","s36","w36","t37","s37","w37","t38","s38","w38","t39","s39","w39","t40","s40","w40","t41","s41","w41","t42","s42","w42","t43","s43","w43","t44","s44","w44","t45","s45","w45","t46","s46","w46","t47","s47","w47","t48","s48","w48","t49","s49","w49","t50","s50","w50","t51","s51","w51","t52","s52","w52","t53","s53","w53","t54","s54","w54","t55","s55","w55","t56","s56","w56","t57","s57","w57","t58","s58","w58","t59","s59","w59","t60","s60","w60","t61","s61","w61","t62","s62","w62","t63","s63","w63","t64","s64","w64","t65","s65","w65","t66","s66","w66","t67","s67","w67","t68","s68","w68","t69","s69","w69","t70","s70","w70","t71","s71","w71","t72","s72","w72","t73","s73","w73","t74","s74","w74","t75","s75","w75","t76","s76","w76","t77","s77","w77","t78","s78","w78","t79","s79","w79","t80","s80","w80","t81","s81","w81","t82","s82","w82","t83","s83","w83","t84","s84","w84","t85","s85","w85","t86","s86","w86","t87","s87","w87","t88","s88","w88","t89","s89","w89","t90","s90","w90","t91","s91","w91","t92","s92","w92","t93","s93","w93","t94","s94","w94","t95","s95","w95","t96","s96","w96","t97","s97","w97","t98","s98","w98","t99","s99","w99","t100","s100","w100","age","male","xeduc","marstat","raceeth","pcincQ"
"1",2015,"All",0.00,0,-2013.65,171.50,0,-1500.08,2948.41,0,1032.62,4981.50,0,3081.06,6112.47,0,4253.98,6958.30,0.00,5038.36,7763.97,0.00,5814.16,8541.33,0.00,6620.42,8906.28,0.00,6893.31,9166.80,0.00,7327.08,9607.91,0.00,7696.36,10072.96,0.00,8165.56,10619.35,0.00,8696.32,11006.09,0.00,9028.70,11413.09,0.00,9494.13,11886.16,0.00,9950.87,12354.24,1595.98,10440.66,12748.24,2424.88,10838.45,13130.80,3326.81,11249.28,13535.94,4001.99,11621.53,13994.67,4545.60,12027.91,14429.87,4933.48,12451.76,14881.80,5328.60,12922.72,15315.40,5752.88,13359.59,15716.49,6118.95,13769.69,16139.11,6514.05,14154.96,16538.94,6864.43,14547.73,16941.00,7203.60,14924.36,17281.60,7532.40,15281.62,17706.24,7871.94,15687.04,18095.62,8173.20,16030.32,18498.78,8503.76,16476.68,18907.11,8804.40,16831.28,19326.40,9051.98,17228.88,19756.80,9339.93,17629.47,20163.27,9625.20,17993.84,20565.44,9880.83,18406.40,20939.49,10111.22,18802.77,21394.24,10366.00,19223.18,21876.21,10595.48,19632.04,22339.28,10826.40,20043.55,22807.82,11062.33,20511.36,23304.77,11278.80,20992.71,23804.80,11515.47,21476.29,24344.19,11707.20,21968.63,24882.96,11913.00,22445.29,25407.34,12101.12,22899.37,25953.73,12319.72,23396.37,26488.24,12517.03,23875.36,27100.35,12708.96,24363.00,27697.05,12886.78,24832.03,28214.61,13068.21,25338.43,28861.86,13248.36,25876.65,29396.23,13445.09,26372.33,30087.35,13638.00,26871.92,30730.81,13823.68,27430.45,31329.35,14052.17,27957.50,31999.76,14244.53,28488.02,32606.81,14488.59,29096.58,33237.55,14700.86,29672.91,34033.57,14905.58,30304.26,34828.21,15118.29,30885.38,35554.50,15331.56,31454.25,36319.79,15539.04,32188.36,37043.87,15724.60,32808.95,37881.81,15906.29,33526.77,38746.89,16144.38,34233.53,39718.78,16332.78,34916.92,40703.30,16521.64,35654.86,41516.31,16727.04,36470.96,42562.61,16936.92,37226.05,43733.89,17120.57,37974.63,44732.01,17330.66,38836.37,45838.67,17532.09,39700.11,46951.03,17736.43,40565.12,48063.04,17994.46,41540.67,49321.31,18211.94,42469.22,50661.82,18414.86,43506.81,52038.96,18632.39,44506.12,53535.52,18856.53,45598.16,55180.87,19101.68,46681.17,56835.70,19341.36,47956.43,58585.42,19614.83,49302.09,60376.55,19858.10,50589.49,62262.66,20153.41,51908.70,64242.73,20450.40,53514.76,66527.05,20772.00,55360.45,69039.31,21121.98,57015.08,71457.22,21457.06,58978.32,75036.17,21822.84,61244.59,78664.08,22176.18,63818.78,82318.25,22688.48,66562.82,87033.24,23169.36,69720.69,92228.05,23782.57,73815.29,98307.15,24380.40,78454.63,106422.80,25110.00,83119.33,117441.66,25966.08,90667.96,134372.68,27134.32,101878.95,168109.97,29197.67,123085.91,2931637.20,61475.40,1437609.76,".",".",".",".",".","."
"2",2025,"All",0.00,0,-2561.89,167.07,0,-1862.30,2784.98,0,196.65,5030.41,0,2480.27,6381.46,0,3845.16,7258.07,0.00,4756.10,8187.00,0.00,5710.14,8973.51,0.00,6472.92,9269.45,0.00,6862.94,9825.60,0.00,7358.24,10314.72,0.00,7881.45,10817.36,0.00,8313.76,11258.89,0.00,8823.09,11799.12,0.00,9316.57,12306.05,1029.27,9814.74,12820.63,2173.14,10356.08,13335.72,3115.58,10847.63,13861.60,3849.95,11370.69,14366.67,4466.66,11858.92,14845.11,5016.21,12298.47,15320.11,5499.78,12789.97,15800.35,5984.24,13275.36,16285.10,6428.35,13777.08,16742.43,6877.16,14214.02,17177.15,7203.82,14652.24,17668.50,7563.51,15130.79,18188.09,7930.32,15586.73,18672.12,8281.92,16044.28,19159.00,8643.71,16499.77,19632.11,9003.56,16969.46,20153.20,9319.31,17397.43,20613.43,9648.59,17884.25,21054.73,9906.95,18299.32,21515.78,10189.07,18705.44,22005.51,10485.80,19133.14,22515.73,10738.70,19582.41,23000.73,10999.85,19997.85,23472.30,11252.97,20471.06,23968.03,11515.86,20883.22,24421.76,11787.62,21335.85,24935.32,12051.15,21766.31,25455.51,12290.51,22237.49,25987.39,12541.69,22695.46,26550.78,12802.96,23145.54,27125.96,13047.49,23635.80,27662.73,13280.03,24152.31,28285.19,13544.86,24672.60,28831.32,13768.82,25164.03,29456.59,14025.70,25680.69,30086.01,14263.78,26195.11,30742.45,14545.10,26729.43,31421.73,14770.67,27282.55,32128.18,15017.71,27805.17,32810.38,15263.50,28451.45,33486.28,15520.22,29043.58,34250.15,15759.13,29642.26,35028.74,15986.10,30295.60,35848.95,16255.23,30961.57,36551.00,16517.52,31615.46,37266.07,16767.88,32251.21,38068.45,16981.45,32868.23,38853.30,17209.01,33546.78,39737.01,17464.09,34244.92,40573.69,17668.70,34977.72,41351.59,17914.34,35715.18,42317.90,18163.60,36480.36,43352.62,18392.30,37258.62,44259.80,18653.11,38055.72,45261.54,18889.53,38810.85,46223.94,19108.72,39591.75,47246.95,19341.56,40478.98,48300.99,19592.66,41399.74,49384.54,19828.63,42345.29,50656.40,20099.01,43268.29,51918.13,20365.16,44288.14,53157.32,20626.64,45360.66,54667.17,20920.59,46477.14,56121.00,21172.83,47698.21,57640.68,21457.76,48869.32,59322.89,21735.50,50201.99,60951.09,21996.59,51384.14,62836.59,22290.55,52710.09,64528.42,22592.78,54139.88,66703.87,22892.92,55594.67,68935.60,23218.23,57280.98,71320.71,23535.34,59158.34,74347.40,23871.90,60948.24,77092.57,24249.75,63041.21,80350.39,24632.40,65340.87,83828.39,25030.93,67936.32,87392.11,25470.20,70776.76,91620.11,25879.03,73853.64,97208.42,26389.69,77523.59,103031.48,26877.24,81889.61,109768.23,27621.28,87095.63,119651.55,28444.55,93643.10,132013.76,29360.35,101714.22,152881.30,30714.80,114971.92,193026.04,32921.36,140124.33,774697.98,66158.89,469500.51,".",".",".",".",".","."
"3",2035,"All",0.00,0,-3227.49,69.93,0,-2346.06,2798.23,0,-387.18,5142.66,0,1887.52,6621.10,0,3487.14,7561.78,0.00,4501.24,8426.79,0.00,5355.28,9166.08,0.00,5950.45,9527.10,0.00,6533.96,10143.56,0.00,7087.67,10722.56,0.00,7659.68,11276.54,0.00,8182.24,11777.15,696.28,8727.30,12311.28,2443.01,9221.78,12832.05,3538.47,9740.63,13364.43,4403.61,10238.08,13856.85,5159.32,10758.35,14389.87,5775.09,11253.75,14858.37,6323.97,11753.94,15357.11,6865.42,12223.87,15855.35,7343.24,12717.71,16327.36,7789.46,13178.34,16820.76,8189.72,13658.35,17266.44,8575.29,14100.88,17764.42,8937.21,14563.83,18237.76,9315.72,15030.44,18711.94,9726.15,15511.63,19231.90,10062.45,16019.66,19676.19,10346.51,16433.97,20176.69,10650.54,16876.64,20625.19,10956.13,17300.96,21147.15,11266.89,17794.29,21628.02,11536.96,18248.35,22131.06,11834.71,18720.56,22638.72,12128.04,19143.48,23136.38,12432.99,19570.16,23644.80,12696.22,20008.15,24233.17,12980.58,20520.53,24775.13,13238.77,20991.24,25297.74,13529.07,21473.13,25815.23,13803.34,21935.69,26375.29,14035.96,22504.23,26956.35,14288.12,22975.91,27534.90,14605.36,23472.38,28119.42,14857.47,24009.77,28668.79,15102.53,24497.58,29215.51,15346.73,24994.22,29884.64,15638.53,25493.79,30588.02,15924.38,26071.25,31296.43,16159.63,26657.07,31972.31,16406.79,27260.39,32663.79,16639.56,27824.98,33466.64,16887.87,28484.85,34142.85,17155.19,29128.53,34927.40,17425.43,29780.23,35778.81,17684.63,30453.19,36555.53,17900.61,31064.32,37382.53,18141.44,31761.78,38242.42,18405.93,32452.04,39091.46,18660.04,33098.87,39922.08,18883.70,33866.00,40733.17,19131.01,34578.73,41625.69,19392.49,35385.86,42556.13,19642.76,36180.51,43560.25,19858.65,36955.01,44544.47,20152.05,37829.19,45591.96,20403.82,38642.27,46837.13,20676.21,39634.23,47934.64,20954.39,40490.23,49042.88,21232.25,41439.44,50232.41,21528.97,42462.63,51556.59,21830.64,43553.56,52928.10,22098.73,44598.71,54350.30,22365.83,45768.21,55623.78,22633.37,46838.36,57214.64,22923.27,47993.55,58782.54,23188.40,49276.41,60457.16,23469.58,50426.02,62116.06,23748.32,51819.48,63754.20,24032.82,53215.86,65461.71,24385.69,54532.80,67303.09,24670.22,56027.78,69413.12,24981.43,57539.89,71459.95,25335.31,59168.71,73956.59,25662.30,60902.15,76574.38,26040.96,62772.90,79461.36,26432.06,64933.44,82484.28,26829.85,67276.73,85913.38,27235.10,69651.63,90010.34,27715.95,72245.48,93951.76,28235.62,75004.28,99202.09,28746.19,78487.37,104581.75,29368.99,82571.53,111477.48,29962.45,87105.70,120192.11,30699.92,92397.63,129291.88,31597.05,99623.30,145198.39,32721.40,109598.13,170171.75,34186.08,122794.89,218013.68,36589.19,154766.69,3933472.48,69175.44,1787123.97,".",".",".",".",".","."
"4",2045,"All",0.00,0,-4096.06,5.90,0,-3858.14,1566.68,0,-2251.29,4582.08,0,528.98,6438.60,0,2490.44,7537.77,0.00,3656.13,8667.32,0.00,4763.44,9179.52,0.00,5265.80,9811.45,0.00,5964.48,10391.46,0.00,6537.66,11110.28,0.00,7178.16,11718.83,0.00,7798.74,12287.68,584.54,8371.26,12852.86,2706.73,8915.21,13329.17,3984.30,9434.96,13838.04,4917.64,9955.13,14395.16,5611.73,10520.26,14902.32,6298.96,11030.18,15470.55,6878.67,11514.27,15997.26,7390.67,12026.42,16462.55,7901.30,12508.63,16940.13,8451.59,12994.94,17451.03,8931.40,13505.54,17961.42,9382.48,13991.74,18528.66,9791.20,14540.10,19027.43,10145.60,15015.16,19514.45,10479.78,15508.43,20018.51,10855.24,15961.23,20502.04,11180.70,16407.72,20938.55,11502.00,16871.02,21458.45,11842.06,17358.50,22013.12,12171.21,17815.46,22522.46,12473.34,18285.23,23042.07,12766.54,18737.39,23512.95,13068.95,19187.99,23993.62,13363.12,19644.32,24560.61,13663.88,20118.81,25136.37,13947.22,20625.75,25644.87,14219.79,21059.62,26174.00,14528.73,21567.97,26744.45,14830.23,22080.56,27338.89,15104.96,22587.50,27922.71,15395.53,23095.49,28588.55,15672.60,23620.73,29223.80,15951.20,24179.15,29878.35,16202.91,24776.18,30545.91,16466.35,25374.97,31193.87,16727.74,25924.37,31928.65,17004.92,26568.55,32628.29,17276.57,27109.59,33412.00,17582.05,27724.99,34176.86,17848.69,28391.92,34939.11,18124.91,29025.77,35782.71,18419.89,29707.61,36568.00,18702.79,30387.46,37468.00,18952.57,31153.56,38294.03,19234.35,31873.65,39195.80,19537.58,32618.95,40153.03,19858.78,33420.53,41152.66,20123.01,34181.50,42063.58,20440.30,34937.51,43035.55,20722.27,35856.98,44174.65,20997.24,36720.14,45219.54,21291.82,37611.11,46319.09,21592.14,38576.96,47414.05,21893.90,39529.23,48592.42,22184.44,40482.45,49741.84,22470.19,41463.61,51068.97,22754.21,42480.30,52368.85,23054.89,43494.63,53558.29,23364.93,44454.53,54846.04,23639.40,45507.86,56075.00,23901.93,46708.91,57453.72,24223.41,47958.86,59229.58,24557.19,49249.13,60897.62,24911.33,50531.17,62701.46,25265.41,51796.90,64591.79,25607.50,53136.01,66562.91,25920.67,54635.00,68740.25,26269.73,56246.46,71032.28,26653.21,57960.45,73020.78,27027.35,59507.86,75393.25,27431.29,61243.11,77978.79,27864.56,63114.00,80493.92,28320.23,64999.75,83560.34,28723.53,67135.66,86631.43,29175.58,69406.39,90379.51,29608.81,72078.93,94300.59,30101.91,74936.91,98641.75,30565.68,78025.10,104212.22,31147.32,81517.76,109704.40,31731.28,85357.25,116998.88,32409.96,89945.57,124374.07,33184.14,94826.12,133922.31,33951.20,101361.05,146769.01,35049.86,109220.42,165119.36,36226.96,120848.92,192475.77,38052.30,138317.56,247971.16,40939.91,172559.00,3316026.32,95111.91,1739163.27,".",".",".",".",".","."
"5",2055,"All",0.00,0,-5113.77,10.09,0,-4716.92,1737.42,0,-3001.36,4821.82,0,0.00,6786.99,0,1706.78,8150.47,0.00,3158.64,9118.76,0.00,4076.15,9848.97,0.00,4919.72,10640.57,0.00,5725.55,11433.72,0.00,6560.00,12203.87,0.00,7263.18,12811.68,0.00,7900.78,13418.86,508.74,8538.77,14017.64,2698.27,9118.62,14598.92,4262.16,9728.93,15151.43,5315.07,10313.90,15700.82,6085.11,10870.30,16257.46,6848.86,11384.36,16783.37,7494.80,11898.32,17307.78,8104.33,12396.92,17828.80,8620.65,12927.07,18388.71,9196.95,13457.01,18928.44,9774.50,13982.19,19483.80,10216.86,14485.62,19992.52,10640.95,14978.33,20540.10,11062.86,15537.26,21098.66,11497.16,16035.71,21687.52,11899.82,16521.87,22200.58,12251.53,17049.47,22768.05,12604.49,17551.62,23346.33,12959.64,18066.96,23907.81,13326.68,18574.46,24465.64,13654.09,19073.08,25031.56,13976.81,19585.82,25590.79,14297.56,20092.01,26155.44,14590.71,20590.40,26726.40,14887.23,21081.76,27339.06,15196.31,21615.40,27939.38,15497.01,22160.89,28572.64,15771.09,22741.11,29259.16,16070.73,23296.37,29946.29,16352.11,23895.23,30663.20,16637.37,24516.36,31408.43,16943.03,25140.41,31997.88,17211.47,25719.07,32661.75,17512.60,26326.61,33376.55,17827.41,26923.00,34157.31,18101.93,27595.66,34875.47,18391.96,28232.40,35747.05,18684.13,28888.12,36505.13,18992.45,29616.16,37353.77,19287.46,30355.29,38250.04,19613.03,31097.35,39178.68,19923.63,31840.89,40090.77,20243.13,32634.08,41123.23,20552.67,33391.69,42129.38,20849.01,34229.19,43036.96,21175.25,35047.02,44207.95,21496.50,35871.50,45360.22,21794.52,36812.88,46386.92,22131.76,37711.32,47585.78,22469.25,38625.05,48703.94,22819.88,39617.22,49917.10,23142.62,40520.46,51258.65,23483.00,41556.67,52521.19,23836.57,42676.84,53883.01,24114.79,43795.88,55285.31,24481.36,44981.06,56660.47,24893.46,46073.10,58286.74,25248.90,47218.67,59929.04,25628.94,48382.26,61320.30,25948.92,49651.28,63001.04,26315.89,50953.93,64642.79,26689.44,52244.77,66399.36,27059.80,53659.89,68512.75,27410.08,54958.23,70597.35,27807.30,56433.17,72520.16,28219.25,57964.85,74745.31,28623.97,59577.11,76823.95,29027.40,61422.97,79303.26,29417.43,63155.28,81665.47,29818.36,64869.17,84469.45,30275.73,66870.13,87218.16,30744.92,69129.51,90462.91,31208.85,71261.93,93746.40,31675.23,73492.78,97620.11,32137.94,76218.84,101520.38,32697.50,79062.17,106453.83,33250.99,82290.76,111539.74,33816.39,85493.29,117113.56,34378.25,89357.54,122956.25,35030.49,93813.95,130445.23,35748.52,98596.36,139469.53,36581.78,103914.51,150577.82,37596.76,111759.58,165076.17,38691.21,120975.66,186618.32,40203.72,134979.55,220935.63,42332.15,155454.28,295802.60,45705.08,198241.89,10425242.16,88898.05,3876611.48,".",".",".",".",".","."
"6",2065,"All",0.00,0,-6215.23,18.65,0,-5954.23,1964.79,0,-4104.27,5475.68,0,-580.81,7424.22,0,1228.75,9034.84,0.00,2851.34,9717.23,0.00,3713.80,10932.34,0.00,4828.55,12003.09,0.00,5921.03,12896.00,0.00,6824.06,13656.76,0.00,7599.08,14396.88,0.00,8336.93,15029.15,1679.90,8988.57,15636.14,3840.37,9609.63,16227.44,5452.77,10200.58,16875.46,6589.57,10842.00,17505.74,7445.24,11459.43,18122.48,8201.43,12070.65,18776.21,8891.72,12675.16,19327.35,9569.78,13270.78,19967.58,10158.13,13891.37,20529.65,10713.13,14454.38,21182.52,11275.03,15034.61,21767.76,11777.22,15600.37,22461.39,12286.36,16207.47,23084.16,12715.36,16799.60,23689.40,13180.98,17343.69,24301.79,13589.81,17945.31,24896.50,14036.89,18469.83,25523.84,14435.73,19026.77,26108.43,14794.25,19593.31,26736.37,15150.32,20142.79,27306.58,15500.49,20695.24,27948.80,15836.05,21225.99,28636.19,16193.01,21805.37,29263.58,16536.65,22427.65,29900.78,16852.89,23013.02,30603.42,17172.47,23618.00,31330.85,17500.59,24256.03,32078.28,17840.32,24876.06,32834.40,18159.16,25543.90,33616.40,18508.12,26134.23,34414.94,18839.19,26778.37,35192.64,19130.50,27438.89,36020.17,19473.11,28121.61,36798.51,19809.08,28849.95,37621.16,20147.95,29526.08,38536.73,20482.20,30225.14,39295.87,20833.40,31023.15,40235.11,21196.76,31810.16,41176.78,21544.82,32466.13,42155.36,21860.37,33303.56,43125.10,22252.09,34124.06,44087.99,22612.85,34885.81,45096.58,22982.71,35670.83,46116.14,23350.14,36599.77,47319.89,23717.95,37475.23,48450.95,24049.40,38445.63,49693.54,24424.32,39405.50,50849.68,24789.27,40394.08,52048.72,25163.38,41388.24,53273.44,25489.46,42414.73,54499.12,25836.22,43435.41,55846.71,26204.00,44455.32,57111.27,26562.28,45574.20,58599.02,26944.80,46588.83,59868.84,27326.08,47702.85,61314.96,27704.73,48809.51,62913.18,28093.50,49902.59,64559.76,28452.67,51193.00,66311.68,28843.26,52522.19,68039.25,29239.46,53844.96,69757.55,29641.70,55152.51,71731.19,30051.05,56540.29,73639.14,30482.22,58068.56,75885.01,30909.07,59691.13,78117.04,31273.38,61303.15,80300.66,31679.78,63097.75,82808.70,32140.93,64854.33,85247.30,32556.34,66729.10,87853.71,33003.12,68547.53,90956.60,33475.05,70485.15,94277.46,33989.93,72603.49,97644.56,34479.77,74978.62,101591.65,34990.39,77816.69,105518.49,35503.43,80610.42,109762.77,36041.96,83609.24,114162.56,36647.96,86772.86,119461.79,37272.76,90077.62,124658.18,37957.39,93921.83,131238.59,38631.06,97861.80,138904.75,39526.06,102740.84,148098.48,40370.23,108804.55,158041.76,41338.41,115515.73,171189.96,42439.69,123315.62,189666.87,43690.01,133626.60,213277.54,45260.84,149378.67,249551.63,47347.14,171555.15,325527.07,50782.24,216020.16,6338060.01,90734.68,2591005.27,".",".",".",".",".","."
"7",2015,".",0.00,0,-2013.65,17.00,0,-1500.08,2033.10,0,0.00,3948.00,0,1965.06,5509.54,0,3500.36,6437.28,0.00,4480.73,7143.30,0.00,5126.27,7766.48,0.00,5814.16,8573.40,0.00,6568.93,8906.26,0.00,6893.26,9307.20,0.00,7308.45,9846.13,0.00,7847.66,10370.94,0.00,8380.13,10848.48,0.00,8857.88,11307.22,0.00,9309.02,11773.32,0.00,9785.00,12281.95,0.00,10343.55,12751.43,0.00,10812.76,13239.29,0.00,11284.11,13749.72,0.00,11697.27,14246.20,0.00,12155.75,14787.70,0.00,12695.49,15253.58,0.00,13224.43,15691.84,0.00,13593.93,16240.65,0.00,14109.57,16798.35,536.63,14577.88,17180.10,1432.92,15040.72,17632.34,2093.69,15491.72,18135.41,2516.22,15877.85,18689.41,3173.40,16394.56,19242.96,3664.80,16907.02,19789.40,4081.94,17379.55,20343.63,4475.38,17844.94,20828.58,4725.70,18364.34,21299.28,5016.45,18900.35,21882.40,5301.00,19379.27,22474.64,5598.89,19808.80,23028.08,5868.14,20346.18,23492.65,6141.60,20851.00,24064.56,6439.95,21406.66,24728.09,6763.68,21945.66,25330.53,7014.54,22432.88,25952.95,7284.16,22930.75,26644.65,7565.80,23487.13,27318.85,7884.81,23986.67,27872.35,8137.84,24474.60,28410.40,8426.65,25015.32,29043.64,8679.70,25489.48,29618.62,8962.89,26036.57,30280.17,9268.80,26452.74,30868.99,9574.20,27039.26,31411.17,9822.26,27521.06,32038.18,10050.75,28147.77,32717.22,10277.47,28685.22,33325.09,10523.91,29204.25,34113.37,10735.20,29788.43,34909.39,10999.81,30415.12,35721.71,11212.80,30963.16,36460.05,11471.14,31572.80,37140.39,11664.93,32278.66,38024.92,11920.80,32998.62,38856.66,12121.57,33701.72,39755.78,12357.60,34429.38,40705.17,12587.88,35111.37,41501.22,12823.16,35832.01,42561.08,13057.53,36505.10,43576.54,13248.79,37261.21,44528.26,13501.20,38050.79,45597.77,13770.60,38884.39,46628.36,14044.31,39692.53,47818.67,14299.04,40575.45,48985.76,14578.39,41559.91,49966.31,14898.05,42408.86,51181.40,15202.88,43274.37,52344.30,15474.77,44234.31,53766.09,15778.92,45305.33,55369.04,16114.15,46247.34,56942.50,16414.29,47433.87,58582.53,16682.78,48577.46,59805.38,17011.99,49662.00,61141.78,17321.29,50845.91,62977.44,17623.39,51980.62,64605.49,18015.39,53297.77,66654.78,18356.30,55010.57,68585.25,18660.35,56436.25,70695.85,19012.00,57855.39,73111.88,19372.80,59519.04,76105.04,19720.24,61439.71,79011.32,20112.00,63659.38,81616.60,20496.24,66103.77,85422.99,21090.35,68578.35,89658.39,21562.80,71405.06,94194.40,22054.87,74797.85,98972.22,22719.86,78829.75,105961.97,23411.80,82409.17,114636.08,24160.03,87759.67,126237.84,24980.40,95082.79,142423.70,25943.19,106107.69,180020.71,27680.00,126097.41,2931637.20,57819.64,1437609.76,"62-69",".",".",".",".","."
"8",2015,".",0.00,0,-2013.65,571.50,0,-1253.48,3422.40,0,1590.09,5842.56,0,3841.36,6818.59,0,5038.36,8058.12,0.00,6055.36,8790.28,0.00,6892.72,9004.60,1563.19,7220.49,9477.49,2757.20,7580.11,10033.99,4012.12,8095.52,10658.04,4672.20,8737.06,11006.43,5244.80,9189.03,11481.53,5762.95,9519.74,11967.85,6379.31,10008.31,12356.44,6792.98,10467.78,12773.38,7266.93,10896.01,13168.63,7647.50,11314.29,13655.20,8061.44,11853.35,14214.40,8425.17,12276.00,14559.53,8759.52,12678.76,15025.90,9010.01,13232.75,15580.73,9303.84,13749.55,16108.12,9531.00,14182.02,16676.09,9860.22,14677.48,17077.60,10086.30,15101.58,17490.29,10379.84,15623.88,17950.28,10666.28,16084.39,18355.17,10880.26,16570.96,18809.65,11117.93,17008.16,19392.59,11309.89,17475.20,19860.11,11510.73,17774.71,20219.86,11663.30,18182.44,20555.35,11861.84,18559.19,20890.40,12041.47,18931.52,21423.42,12231.73,19465.69,22048.22,12406.69,20011.98,22514.75,12628.54,20408.29,23001.01,12794.27,20926.33,23626.16,12955.20,21599.13,24001.09,13108.91,22038.37,24623.47,13359.94,22559.10,25187.65,13569.92,22960.23,25789.39,13762.48,23462.97,26319.04,13952.01,23960.77,26916.00,14130.14,24582.22,27437.01,14327.64,25034.34,27925.59,14536.70,25549.67,28477.03,14802.44,26070.81,29110.75,15016.03,26634.13,29664.56,15258.48,26938.00,30587.73,15406.37,27546.44,31149.75,15592.32,28061.43,31818.93,15771.79,28488.59,32393.13,15950.63,29096.90,32914.46,16172.45,29656.30,33566.82,16329.09,30318.94,34398.52,16537.61,30834.54,35126.44,16738.42,31301.36,35790.77,16941.41,32182.53,36585.76,17073.65,32708.09,37208.79,17254.64,33286.76,37902.77,17458.78,33991.16,38752.44,17617.49,34581.06,39754.15,17855.29,35410.90,40738.91,18031.11,35978.79,41540.25,18172.84,36865.78,42429.11,18359.45,37527.13,43397.15,18596.48,38134.41,44483.38,18733.55,38940.09,45359.47,18897.43,39766.19,46311.64,19106.35,40488.43,47267.31,19264.10,41179.90,48198.32,19465.17,41789.49,49391.84,19664.90,42858.94,50534.63,19827.64,43704.38,51452.79,20025.96,44588.89,53102.69,20199.02,45479.38,54426.63,20395.98,46513.00,55916.29,20666.28,47546.49,57804.14,20850.84,48883.48,59213.52,21099.25,49891.36,60911.11,21329.55,51009.30,62429.46,21514.08,52177.26,63936.44,21795.84,53562.91,65988.02,22137.60,55360.45,68065.66,22415.20,56574.06,69961.33,22661.27,58189.67,73197.67,22919.40,59930.97,76961.30,23238.36,62592.91,80483.26,23610.00,65287.56,84504.71,23937.01,67776.92,89809.49,24351.04,71111.85,93233.06,24800.20,74567.73,99821.42,25346.40,79562.62,106772.92,25943.16,83552.36,114330.58,26577.60,88752.98,128117.21,27510.80,98586.30,146582.05,28491.89,110460.23,188613.64,30595.32,137654.25,2711643.28,58206.75,1239992.07,"70-74",".",".",".",".","."
