"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"204",".",".","1.White",".",".",".",2065,0010001,2,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99879,0.92051,0.00417,0.97152,0.21591,0.41102,0.80719,0.08576,0.14131,0.89385,0.42935,0.31462,0.21522,1,0.99992,0.59905,0.42206,0.30992,0.30992,0.42113,0.92633,0.73037,0.99567,0.59331,0.50706,0.30899,0.09349
"205",".",".","2.Black",".",".",".",2015,0010001,3,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99387,0.82279,0.07923,0.85368,0.47028,0.29498,0.64128,0.09749,0.22230,0.78488,0.28582,0.18951,0.15486,1,1.00000,0.37544,0.28157,0.16546,0.16546,0.00536,0.91517,0.73884,0.98147,0.22378,0.35930,0.16309,0.04129
"206",".",".","2.Black",".",".",".",2025,0010001,3,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99334,0.84322,0.06205,0.89104,0.45278,0.31326,0.65588,0.09897,0.22790,0.81023,0.33656,0.19825,0.15950,1,1.00000,0.38438,0.27421,0.18463,0.18463,0.02270,0.92101,0.73789,0.97882,0.35684,0.38136,0.17616,0.05206
"207",".",".","2.Black",".",".",".",2035,0010001,3,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99352,0.86735,0.04488,0.90850,0.39691,0.29172,0.65521,0.09774,0.22188,0.83743,0.34654,0.19597,0.14039,1,0.99975,0.38444,0.27748,0.18899,0.18899,0.05013,0.93093,0.74869,0.97706,0.44179,0.38592,0.18374,0.04736
"208",".",".","2.Black",".",".",".",2045,0010001,3,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99557,0.89128,0.03610,0.90521,0.30948,0.29639,0.61875,0.10345,0.21891,0.86701,0.33629,0.20224,0.13912,1,0.99979,0.38105,0.26578,0.19781,0.19781,0.09141,0.93308,0.73654,0.98037,0.46316,0.37260,0.17817,0.05151
"209",".",".","2.Black",".",".",".",2055,0010001,3,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99634,0.89742,0.02728,0.90790,0.21405,0.31275,0.60448,0.09943,0.21464,0.87746,0.33930,0.21827,0.14539,1,0.99963,0.40577,0.27782,0.21534,0.21534,0.17084,0.92346,0.73266,0.98604,0.47499,0.39808,0.18000,0.05328
"210",".",".","2.Black",".",".",".",2065,0010001,3,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.99498,0.89729,0.02275,0.91067,0.16678,0.30947,0.60304,0.09635,0.20743,0.87805,0.34694,0.21930,0.13918,1,0.99967,0.42673,0.28387,0.21529,0.21529,0.24691,0.92673,0.73670,0.98745,0.51422,0.40231,0.18668,0.05888
"211",".",".","3.Hispanic",".",".",".",2015,0010001,4,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.93502,0.66687,0.11674,0.76197,0.31576,0.35828,0.54734,0.10498,0.25361,0.63173,0.30147,0.24437,0.20704,1,0.99914,0.32364,0.19355,0.20786,0.20786,0.00599,0.91752,0.72348,0.92291,0.17884,0.32408,0.14501,0.05093
"212",".",".","3.Hispanic",".",".",".",2025,0010001,4,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.94101,0.70955,0.07866,0.79581,0.29928,0.41222,0.58301,0.10829,0.24729,0.67560,0.32487,0.28885,0.23305,1,0.99892,0.36077,0.23578,0.24117,0.24117,0.01966,0.91218,0.71792,0.93589,0.25106,0.37416,0.15139,0.04552
"213",".",".","3.Hispanic",".",".",".",2035,0010001,4,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96105,0.72396,0.05105,0.83664,0.27453,0.42087,0.62413,0.09567,0.23747,0.69446,0.35905,0.29628,0.22556,1,0.99887,0.39005,0.25959,0.24163,0.24163,0.04935,0.91095,0.71431,0.94328,0.31556,0.37682,0.17773,0.05540
"214",".",".","3.Hispanic",".",".",".",2045,0010001,4,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96142,0.71112,0.03632,0.86543,0.25256,0.39602,0.63714,0.09328,0.22213,0.68973,0.34418,0.28722,0.20780,1,0.99804,0.40732,0.28315,0.22785,0.22785,0.10639,0.91064,0.71866,0.94002,0.39225,0.38878,0.19590,0.05591
"215",".",".","3.Hispanic",".",".",".",2055,0010001,4,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96553,0.72233,0.02156,0.88404,0.20873,0.39501,0.65589,0.09640,0.21600,0.69688,0.35464,0.29347,0.21186,1,0.99724,0.43600,0.29974,0.24520,0.24520,0.19531,0.90698,0.71806,0.94083,0.43676,0.41118,0.20158,0.06556
"216",".",".","3.Hispanic",".",".",".",2065,0010001,4,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.97602,0.74669,0.01553,0.89868,0.17617,0.39852,0.66528,0.09788,0.21797,0.72417,0.36475,0.29626,0.20817,1,0.99844,0.46628,0.31919,0.25373,0.25373,0.29938,0.90962,0.72324,0.94913,0.45439,0.42739,0.21860,0.06849
"217",".",".","4.Other",".",".",".",2015,0010001,5,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96175,0.70031,0.09988,0.85671,0.40816,0.42790,0.61824,0.06024,0.31967,0.66971,0.35690,0.32970,0.21092,1,0.99915,0.42925,0.32277,0.30694,0.30694,0.02175,0.88708,0.69823,0.95296,0.29244,0.42464,0.27114,0.07301
"218",".",".","4.Other",".",".",".",2025,0010001,5,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.96646,0.76988,0.07390,0.87003,0.36529,0.46381,0.65515,0.06446,0.32857,0.71797,0.38843,0.34912,0.23583,1,0.99948,0.47438,0.35280,0.32654,0.32654,0.04088,0.89942,0.71018,0.96384,0.37956,0.43713,0.23850,0.07704
