"year","category","catval","percentile","wealth","ss","income"
2015,"age","2",16,2748.29,7266.93,15763.7
2015,"age","2",17,3141.82,7636.2,16395.13
2015,"age","2",18,3502.55,8061.44,16941.57
2015,"age","2",19,3860.32,8392.53,17682.39
2015,"age","2",20,4198.11,8753.07,18417.39
2015,"age","2",21,4615.96,9004.6,19230.3
2015,"age","2",22,5022.35,9269,19854.1
2015,"age","2",23,5445.75,9509.41,20374.11
2015,"age","2",24,5996.41,9837.5,21209.4
2015,"age","2",25,6595.33,10052.1,21669.12
2015,"age","2",26,7237.87,10370.4,22266.85
2015,"age","2",27,7726.44,10642.68,22755.92
2015,"age","2",28,8214.65,10872,23114.4
2015,"age","2",29,8698.88,11085.8,23790.61
2015,"age","2",30,9148.11,11276.1,24503.94
2015,"age","2",31,9829.03,11494,25062.11
2015,"age","2",32,10577.22,11644.38,25582.81
2015,"age","2",33,11389.03,11847.6,26058.63
2015,"age","2",34,12186.55,12036.95,26642.91
2015,"age","2",35,12813.58,12220.65,27186.05
2015,"age","2",36,13527.1,12400.2,27696
2015,"age","2",37,14662.79,12606.55,28455.64
2015,"age","2",38,15625.96,12783.99,29317.43
2015,"age","2",39,16484.2,12947.78,30290.81
2015,"age","2",40,17246.64,13108.91,31146.65
2015,"age","2",41,18230.9,13320.56,31922.36
2015,"age","2",42,19188.14,13542.91,32470.83
2015,"age","2",43,20265.56,13760.63,33220.65
2015,"age","2",44,21577.27,13937.16,33777.03
2015,"age","2",45,22743.71,14124.39,34457.01
2015,"age","2",46,23917.77,14327.01,34992.77
2015,"age","2",47,25263.5,14520.19,35987.53
2015,"age","2",48,27018.25,14802.44,36842.24
2015,"age","2",49,28372.42,14993.55,37669.96
2015,"age","2",50,29590.65,15224.88,38445.81
2015,"age","2",51,31275.36,15396.44,39186.39
2015,"age","2",52,32575.48,15581.4,39707.99
2015,"age","2",53,33897.45,15757.85,40531
2015,"age","2",54,36251.48,15950.63,41448.88
2015,"age","2",55,38325.23,16136.73,42389.79
2015,"age","2",56,40496.26,16317.24,43704.58
2015,"age","2",57,42330.29,16515.78,44724.37
2015,"age","2",58,45322.66,16728.3,45742.54
2015,"age","2",59,48372.83,16842.92,46886.5
2015,"age","2",60,51670.82,17061.57,47871.1
2015,"age","2",61,54345.55,17225.07,49252.51
2015,"age","2",62,57319.39,17407.56,50133.02
2015,"age","2",63,60866.99,17575.19,51272.86
2015,"age","2",64,63848.84,17836.76,52375.7
2015,"age","2",65,67665.13,18013.24,53639.97
2015,"age","2",66,71377.2,18143.36,54702.8
2015,"age","2",67,74931.31,18300.91,56088.93
2015,"age","2",68,78820.87,18515.85,57263.64
2015,"age","2",69,82801.4,18701.18,58504.62
2015,"age","2",70,89717.59,18879.07,60437.63
2015,"age","2",71,94492.79,19098.01,62278.26
2015,"age","2",72,100367.62,19255.69,63483.39
2015,"age","2",73,108663.41,19442.68,64935.5
2015,"age","2",74,118899.64,19628.67,66528.25
2015,"age","2",75,130527.02,19807.71,68179.29
2015,"age","2",76,144431.46,19995.23,69413.65
2015,"age","2",77,159924.33,20178.16,71110.52
2015,"age","2",78,177304.6,20395.98,73162.8
2015,"age","2",79,190508.31,20625.06,74913.91
