"year","category","catval","percentile","wealth_1_pc","ss_1_pc","income_1_pc","wealth_2_pc","ss_2_pc","income_2_pc","wealth_1_eq","ss_1_eq","income_1_eq","wealth_2_eq","ss_2_eq","income_2_eq"
2015,"age","1",1,-981.17,0,356.02,-981.17,0,356.02,-1387.79,0,356.02,-1387.79,0,356.02
2015,"age","1",2,-981.17,0,2449.3,-981.17,0,2449.3,-1033.35,0,2758.64,-1033.35,0,2758.64
2015,"age","1",3,-981.17,0,4963.99,-981.17,0,4963.99,-981.17,0,5526.6,-981.17,0,5526.6
2015,"age","1",4,-856.68,0,6537.74,-856.68,0,6537.74,-876.79,0,7470.62,-876.79,0,7470.62
2015,"age","1",5,-475.19,0,7502.22,-475.19,0,7502.22,-539.85,0,8682.15,-539.85,0,8682.15
2015,"age","1",6,-82.72,0,8364.43,-82.72,0,8364.43,-112.19,0,9505.42,-112.19,0,9505.42
2015,"age","1",7,188.6,0,9004.48,188.6,0,9004.48,232.04,0,10295.9,232.04,0,10295.9
2015,"age","1",8,525.09,0,9741.58,525.09,0,9741.58,629.36,0,11181.83,629.36,0,11181.83
2015,"age","1",9,895.09,0,10340.7,895.09,0,10340.7,1108.16,0,11965.92,1108.16,0,11965.92
2015,"age","1",10,1293.38,0,10978.66,1293.38,0,10978.66,1516.59,0,13044.53,1516.59,0,13044.53
2015,"age","1",11,1670.61,0,11680.29,1670.61,0,11680.29,1979.36,0,13904.71,1979.36,0,13904.71
2015,"age","1",12,2024.91,0,12514.64,2024.91,0,12514.64,2427.27,0,14693.63,2427.27,0,14693.63
2015,"age","1",13,2480.83,0,13330.15,2480.83,0,13330.15,2902.33,0,15444.91,2902.33,0,15444.91
2015,"age","1",14,2944.19,0,13948.71,2944.19,0,13948.71,3492.89,0,16319.45,3492.89,0,16319.45
2015,"age","1",15,3346.11,0,14636.14,3346.11,0,14636.14,4071.65,0,17294.24,4071.65,0,17294.24
2015,"age","1",16,3724.21,0,15442.35,3724.21,0,15442.35,4603.79,0,18014.03,4603.79,0,18014.03
2015,"age","1",17,4164.55,0,16033.99,4164.55,0,16033.99,5150.02,0,19056.78,5150.02,0,19056.78
2015,"age","1",18,4690.88,0,16763.64,4690.88,0,16763.64,5698.82,0,19906.14,5698.82,0,19906.14
2015,"age","1",19,5242.62,0,17468.49,5242.62,0,17468.49,6366.63,0,20765.33,6366.63,0,20765.33
2015,"age","1",20,5751.13,0,18149.46,5751.13,0,18149.46,7163.62,0,21774.14,7163.62,0,21774.14
2015,"age","1",21,6275.56,0,18939.99,6275.56,0,18939.99,7734.15,0,22467.18,7734.15,0,22467.18
2015,"age","1",22,6995.2,0,19586.46,6995.2,0,19586.46,8339.56,0,23395.71,8339.56,0,23395.71
2015,"age","1",23,7596.54,0,20347.13,7596.54,0,20347.13,9192.69,0,24278.24,9192.69,0,24278.24
2015,"age","1",24,8142.85,0,21015.48,8142.85,0,21015.48,10070.68,0,25202.55,10070.68,0,25202.55
2015,"age","1",25,8685.44,0,21647.45,8685.44,0,21647.45,10934.17,0,26216,10934.17,0,26216
2015,"age","1",26,9325.77,536.63,22352.04,9325.77,536.63,22352.04,11632.56,746.14,27132.33,11632.56,746.14,27132.33
2015,"age","1",27,9948.76,1432.92,23110.86,9948.76,1432.92,23110.86,12432.35,1793.27,28140.65,12432.35,1793.27,28140.65
2015,"age","1",28,10511.64,2078.01,23820.33,10511.64,2078.01,23820.33,13215.36,2606.84,29038.86,13215.36,2606.84,29038.86
2015,"age","1",29,11261.5,2516.22,24601.12,11261.5,2516.22,24601.12,14096.17,3305.94,29867.61,14096.17,3305.94,29867.61
2015,"age","1",30,12098.57,3173.4,25318.17,12098.57,3173.4,25318.17,14759.33,3873.4,30711.74,14759.33,3873.4,30711.74
2015,"age","1",31,12796.28,3664.8,26102.95,12796.28,3664.8,26102.95,15811.42,4556.7,31715.02,15811.42,4556.7,31715.02
2015,"age","1",32,13863.78,4071.15,26875.64,13863.78,4071.15,26875.64,16928.12,5181.41,32758.12,16928.12,5181.41,32758.12
